NEIGHBORID,Pet,Pet_tag,StoreCard,No_transaction,LTD,FTD,Net_Amount,No_transaction_last_sixmonth,Tenure_days,Avg_diff_btw_trans,Recency,Tenure_FTD_days,Avg_no_transaction_sixmonth,No_Coupon_Trans,LTV_margin,marketinghomestoreid,Percent_change_tenure,Segment
1007982,"Bird,Cat,Dog,Small Animal",4,False,67,2018-01-10,2015-07-30,2583.33,22,895,13.35821,13,908,13.28194,4,1218.1757,205,65.63847,A1
1051162,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,70,2018-01-13,2015-07-28,2363.86,16,900,12.85714,10,910,13.84615,16,976.76318,29,15.55556,A1
1052948,"Cat,Dog,Fish,Wild Bird",4,False,103,2018-01-05,2015-08-04,4945.86,23,885,8.59223,18,903,20.53156,22,1226.2258,171,12.02265,A1
1062045,"Bird,Cat,Dog,Fish,Wild Bird",4,False,137,2017-12-23,2015-08-04,5785.4,25,872,6.36496,31,903,27.30897,38,2275.0842,9014,-8.45499,A1
1063179,"Cat,Dog,Small Animal,Wild Bird",4,False,61,2018-01-10,2015-08-06,4409.55,16,888,14.55738,13,901,12.18646,10,1275.9568,65,31.29326,A1
6947571,"Bird,Cat,Dog,Fish,Small Animal,Wild Bird",4,False,133,2018-01-07,2015-08-02,4830.28,26,889,6.68421,16,905,26.45304,8,696.94199,8054,-1.71261,A1
7008205,"Bird,Cat,Dog,Small Animal",4,False,83,2018-01-13,2016-04-02,5511.41,21,651,7.84337,10,661,22.60212,6,1730.0125,8062,-7.08835,A1
7028273,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,279,2018-01-12,2016-03-04,3474.44,79,679,2.43369,11,690,72.78261,19,730.0186,8062,8.54241,A1
7030632,"Bird,Dog,Small Animal",5,False,73,2018-01-12,2015-10-26,2694.74,19,809,11.08219,11,820,16.02439,0,1011.52901,8048,18.56925,A1
7030903,"Bird,Cat,Dog,Fish,Reptile,Wild Bird",4,False,46,2018-01-02,2016-09-28,516.31,18,461,10.02174,21,482,17.17842,0,241.14,43,4.78261,A2
7036979,"Bird,Cat,Dog,Fish,Small Animal",4,False,29,2018-01-07,2017-02-19,598.3,21,322,11.10345,16,338,15.44379,0,255.9,9046,35.97701,A1
7056857,"Cat,Dog,Fish,Wild Bird",4,False,133,2018-01-10,2015-07-26,5541.08,28,899,6.7594,13,912,26.25,2,1857.824,7006,6.66667,A1
108899,"Cat,Dog,Small Animal,Wild Bird",4,False,74,2017-12-29,2015-08-01,887.04,22,881,11.90541,25,906,14.70199,33,74.82638,4101,49.63964,A3
111257,"Cat,Dog,Fish,Wild Bird",4,False,50,2018-01-03,2016-02-02,2331.52,16,701,14.02,20,721,12.48266,7,685.9898,225,28.17778,A1
1140993,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,96,2018-01-13,2015-08-01,4098.03,16,896,9.33333,10,906,19.07285,12,1609.79765,240,-16.11111,A1
5409846,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,94,2018-01-13,2015-08-21,2133.25,16,876,9.31915,10,886,19.09707,5,931.42736,206,-16.21749,A1
5456656,"Cat,Dog,Fish,Wild Bird",4,False,77,2018-01-08,2015-07-26,2050.69,17,897,11.64935,15,912,15.19737,3,419.06391,3,11.86147,A2
5497628,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,128,2017-12-26,2015-08-30,1824.12,20,849,6.63281,28,877,26.27138,10,544.3525,38,-23.87153,A2
5539340,"Bird,Cat,Dog,Reptile,Small Animal,Wild Bird",4,False,81,2018-01-09,2015-07-27,2470.03,20,897,11.07407,14,911,16.00439,11,754.02623,205,24.96571,A1
3901257,"Bird,Dog,Fish,Wild Bird",5,False,72,2018-01-06,2016-02-27,3990.5,22,679,9.43056,17,696,18.62069,17,1383.47841,232,18.14815,A1
390313,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,116,2018-01-10,2015-07-28,1539.04,34,897,7.73276,13,910,22.94505,9,630.98025,217,48.18008,A2
2432617,"Cat,Dog,Fish,Wild Bird",4,False,74,2018-01-10,2015-08-06,3944.28,28,888,12.0,13,901,14.78357,2,1328.409,194,89.3994,A1
2480996,"Bird,Cat,Dog,Fish",4,False,94,2018-01-11,2015-07-31,2734.75,16,895,9.52128,12,907,18.65491,3,735.36441,231,-14.23168,A1
249871,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,56,2018-01-06,2015-08-14,1663.7,16,876,15.64286,17,893,11.28779,14,532.2534,246,41.74603,A2
2564368,"Cat,Dog,Reptile,Small Animal,Wild Bird",4,False,161,2018-01-08,2015-07-30,6248.6,24,893,5.54658,15,908,31.9163,12,2033.565,11,-24.80331,A1
2571626,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,272,2018-01-10,2015-07-26,5358.82,49,899,3.30515,13,912,53.68421,5,2368.83895,8038,-8.72549,A1
725278,"Bird,Cat,Dog,Fish,Small Animal,Wild Bird",4,False,101,2018-01-06,2015-08-09,2920.14,26,881,8.72277,17,898,20.24499,7,897.71249,67,28.42684,A1
727429,"Bird,Cat,Dog,Wild Bird",4,False,76,2018-01-05,2015-08-02,982.82,23,887,11.67105,18,905,15.11602,0,529.92087,77,52.15643,A2
7310904,"Dog,Fish,Reptile,Small Animal",5,False,56,2018-01-10,2017-03-29,1085.21,55,287,5.125,13,300,33.6,12,491.87,63,63.69048,A1
1330795,"Bird,Cat,Dog,Reptile,Small Animal",4,False,74,2018-01-13,2015-08-01,3328.38,27,896,12.10811,10,906,14.70199,16,600.7892,153,83.64865,A2
1332825,"Cat,Dog,Fish,Wild Bird",4,False,58,2017-12-30,2015-10-15,918.57,18,807,13.91379,24,831,12.56318,1,286.0483,9013,43.27586,A2
1353152,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,78,2018-01-05,2016-05-15,2393.48,18,600,7.69231,18,618,22.71845,1,973.74265,227,-20.76923,A1
1377271,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,86,2018-01-13,2016-10-08,1791.57,32,462,5.37209,10,472,32.79661,24,492.2875,4066,-2.42894,A1
1450313,"Cat,Dog,Reptile,Small Animal,Wild Bird",4,False,76,2018-01-07,2015-07-28,2968.56,18,894,11.76316,16,910,15.03297,17,821.3586,7011,19.73684,A1
5692686,"Cat,Dog,Small Animal,Wild Bird",4,False,119,2018-01-10,2015-08-04,4935.41,27,890,7.47899,13,903,23.72093,31,1331.88035,54,13.82353,A1
571221,"Bird,Cat,Dog,Fish,Small Animal",4,False,95,2018-01-07,2015-07-30,4060.16,20,892,9.38947,16,908,18.8326,5,1505.12969,54,6.19883,A1
5773650,"Bird,Cat,Dog,Fish,Small Animal",4,False,58,2018-01-06,2015-08-01,2366.16,23,889,15.32759,17,906,11.52318,35,633.6083,233,99.5977,A2
5799917,"Cat,Dog,Fish,Wild Bird",4,False,103,2018-01-12,2015-09-17,1858.87,16,848,8.23301,11,859,21.58324,7,757.2002,8031,-25.86839,A1
580290,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,35,2017-12-26,2015-12-15,390.79,21,742,21.2,28,770,8.18182,0,264.3052,25,156.66667,A2
5866073,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,116,2017-10-30,2016-08-15,2704.99,18,441,3.80172,85,526,39.69582,15,823.34257,72,-54.65517,A1
4098185,"Bird,Cat,Dog,Wild Bird",4,False,51,2018-01-13,2015-09-01,1256.47,17,865,16.96078,10,875,10.49143,13,430.356,14,62.03704,A2
4197229,"Cat,Dog,Fish,Small Animal,Wild Bird",4,False,159,2018-01-08,2015-07-28,9265.08,36,895,5.62893,15,910,31.45055,8,2743.6482,53,14.46541,A1
4215125,"Cat,Dog,Reptile,Wild Bird",4,False,180,2017-12-31,2015-10-15,4837.61,80,808,4.48889,23,831,38.98917,39,1605.5692,56,105.18519,A1
4256037,"Bird,Cat,Dog,Fish",4,False,137,2018-01-13,2015-07-28,4845.78,25,900,6.56934,10,910,27.0989,38,1603.3171,212,-7.74534,A1
4271874,"Cat,Dog,Small Animal,Wild Bird",4,False,132,2018-01-12,2015-08-15,10503.69,35,881,6.67424,11,892,26.63677,29,2806.40246,231,31.39731,A1
4317749,"Cat,Small Animal",5,False,76,2017-12-23,2015-08-02,3690.58,18,874,11.5,31,905,15.11602,24,732.798,8052,19.07895,A1
4321670,"Cat,Dog,Small Animal,Wild Bird",4,False,38,2018-01-11,2015-10-26,1104.11,20,808,21.26316,12,820,8.34146,27,198.17578,9025,139.76608,A2
4359447,"Bird,Cat,Dog,Fish,Small Animal",4,False,55,2017-12-22,2015-08-04,2014.28,18,871,15.83636,32,903,10.96346,2,1017.8987,14,64.18182,A1
2615897,"Cat,Dog,Small Animal,Wild Bird",4,False,76,2018-01-06,2015-08-23,2799.14,17,867,11.40789,17,884,15.47511,9,882.3089,7010,9.8538,A1
2631819,"Cat,Dog,Fish,Wild Bird",4,False,67,2018-01-06,2015-08-16,801.27,17,874,13.04478,17,891,13.53535,6,247.4131,174,25.59701,A2
2645391,"Bird,Dog,Small Animal",5,False,168,2018-01-08,2015-07-28,3765.52,24,895,5.32738,15,910,33.23077,7,1460.39407,220,-27.77778,A1
2696606,"Bird,Cat,Dog,Wild Bird",4,False,103,2018-01-13,2015-07-29,4514.18,27,899,8.72816,10,909,20.39604,35,525.44,4100,32.37864,A2
2838524,"Dog,Fish,Wild Bird",5,False,66,2018-01-09,2015-08-13,2529.94,16,880,13.33333,14,894,13.28859,3,1006.06206,18,20.40404,A1
7491863,"Cat,Dog,Fish,Reptile,Wild Bird",4,False,58,2018-01-12,2015-08-07,2279.46,18,889,15.32759,11,900,11.6,1,804.16,169,55.17241,A1
749873,"Bird,Cat,Dog,Wild Bird",4,False,103,2018-01-12,2015-08-18,4110.26,20,878,8.52427,11,889,20.85489,32,547.49538,226,-4.09924,A2
7565351,"Bird,Cat,Dog,Reptile,Small Animal",4,False,30,2018-01-04,2017-03-19,1051.34,18,291,9.7,19,310,17.41935,4,486.88,8043,3.33333,A1
7594361,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,44,2018-01-13,2015-08-30,1183.9,16,867,19.70455,10,877,9.03079,3,562.2939,4057,77.17172,A2
7667903,Reptile,5,False,59,2018-01-11,2016-09-17,255.28,26,481,8.15254,12,493,21.54158,28,252.67,87,20.6968,A2
1485081,"Bird,Cat,Dog,Fish,Reptile,Wild Bird",4,False,42,2018-01-03,2015-08-24,656.54,32,863,20.54762,20,883,8.56172,5,296.3,9031,273.75661,A2
1488477,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,156,2018-01-11,2015-07-30,4930.95,30,896,5.74359,12,908,30.92511,32,1280.90029,66,-2.99145,A1
1495134,"Bird,Cat,Dog,Reptile,Wild Bird",4,False,228,2018-01-08,2015-07-28,8694.52,25,895,3.92544,15,910,45.0989,57,610.9683,8013,-44.56628,A2
1549856,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,97,2018-01-05,2016-03-11,1967.88,28,665,6.85567,18,683,25.56369,8,586.525,181,9.53036,A1
1558017,"Bird,Cat,Dog,Wild Bird",4,False,56,2018-01-13,2015-07-28,2877.81,17,900,16.07143,10,910,11.07692,1,702.16365,66,53.47222,A1
1629191,"Cat,Dog,Small Animal,Wild Bird",4,False,119,2018-01-13,2015-07-26,3061.86,22,902,7.57983,10,912,23.48684,7,1097.2877,8016,-6.33053,A1
1631615,"Bird,Cat,Dog,Fish,Reptile",4,False,34,2018-01-11,2015-09-05,678.78,20,859,25.26471,12,871,7.02641,0,375.2862,8006,184.64052,A2
1632107,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,120,2018-01-02,2015-07-28,1088.18,25,889,7.40833,21,910,23.73626,4,624.207,14,5.32407,A2
595449,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,453,2018-01-10,2015-07-29,12086.72,86,896,1.97792,13,909,89.70297,57,3419.46671,131,-4.12804,A1
5980340,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,58,2018-01-03,2015-10-01,1378.47,18,825,14.22414,20,845,12.35503,2,689.54388,8030,45.68966,A1
6084024,"Cat,Dog,Reptile,Wild Bird",4,False,83,2018-01-06,2015-08-02,616.59,28,888,10.6988,17,905,16.50829,0,148.7374,9070,69.61178,A2
6088909,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,57,2018-01-13,2015-07-31,856.96,17,897,15.73684,10,907,11.31202,3,396.09038,32,50.28265,A2
6156887,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,140,2018-01-07,2015-07-26,3079.4,16,896,6.4,16,912,27.63158,1,974.3256,9073,-42.09524,A1
